Tipo,Pregunta,A,B,C,D,Respuesta,Fuente,Columna 1
alternativa,¿A CUÁNTO SE PUEDE ESTACIONAR AL LADO IZQUIERDO DEL TOW HAUL O KOMATSU 830?,A 7 MTS,A 10 MTS,30 MTS CON PÉRTIGA Y BALIZA A LA ALTURA DE LA CABINA DEL OPERADOR,A 8 MTS,A,REG_INT_TRANS,
alternativa,¿A CUÁNTOS METROS SE PUEDE DETENER O ESTACIONAR EN UN PIE DE CORTE?,A MÍNIMO 6 MTS DE DISTANCIA,A MÍNIMO 7 MTS DE DISTANCIA,A MÍNIMO 8 MTS DE DISTANCIA,A MÍNIMO 10 MTS DE DISTANCIA,A,REG_INT_TRANS,
alternativa,¿A CUÁNTOS METROS SE PUEDE DETENER O ESTACIONAR EN UN SECTOR INDICADO CON ALGUNA INESTABILIDAD?,NO SE PUEDE ESTACIONAR,A MÍNIMO 6 MTS DE DISTANCIA,A MÍNIMO 7 MTS DE DISTANCIA,A MÍNIMO 10 MTS DE DISTANCIA,A,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE DEBE ESTACIONAR EN UN SECTOR DELIMITADO Y CON INESTABILIDAD EN EL TERRENO?,"A NINGUNA, ESTÁ PROHIBÍDO",A MÍNIMO 8 MTS DE DISTANCIA,A MÍNIMO 6 MTS DE DISTANCIA,A MÍNIMO 10 MTS DE DISTANCIA,A,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA SE DEBE TRANSITAR DE UNA EXCAVADORA EN LA MINA?,A 50 MTS DE DISTANCIA,A 150 MTS DE DISTANCIA,A 250 MTS DE DISTANCIA,"A NINGUNA, ESTÁ PROHIBÍDO",A,REG_INT_TRANS,
alternativa,¿A QUÉ DISTANCIA UNA CAMIONETA DEBE TRANSITAR DE OTRA CAMIONETA DENTRO DE LA MINA?,"A 50 MTS EN CONDICIONES NORMALES, AL DOBLE EN CONDICIONES ADVERSAS",A 100 MTS DE DISTANCIA EN CONDICIONES NORMALES Y AL DOBLE EN CONDICIONES ADVERSAS,A 80 MTS DE DISTANCIA EN CONDICIONES NORMALES Y AL DOBLE EN CONDICIONES ADVERSAS,"A NINGUNA, ESTÁ PROHIBÍDO",A,REG_INT_TRANS,
alternativa,¿A QUÉ SE DENOMINA PERÍODO DE TRANSICIÓN EN FAENA CORDILLERA?,A LA BRECHA QUE SE PRODUCE ENTRE LOS 2 PERÍODOS DE INVIERNO,A LA BRECHA QUE SE PRODUCE ENTRE EL 15 DE ABRIL Y EL 30 DE MAYO,A LA BRECHA QUE SE PRODUCE ENTRE EL 30 DE SEPTIEMBRE Y EL 30 DE ABRIL,A LA BRECHA QUE SE PRODUCE ENTRE EL 15 DE SEPTIEMBRE Y EL 30 DE OCTUBRE,A,OP_INV,
alternativa,¿A QUIÉN SE LE PIDE AUTORIZACIÓN PARA INGRESAR A UN ÁREA DE PERFORACIÓN Y EN QUÉ FRECUENCIA?,"AL OPERADOR DE LA PERFORADORA, EN FRECUENCIA TRONADURA","AL OPERADOR DE LA PALA, EN FRECUENCIA ALTO ROSARIO","AL OPERADOR DE LA PALA, EN FRECUENCIA BAJO ROSARIO","AL JEFE TURNO MINA, EN FRECUENCIA DESPACHO",A,REG_CARGIO,
alternativa,¿ALERTA 3 Y 4 DE INVIERNO ALTIPLÁNICO TIENEN UN TIEMPO DE DURACIÓN APROXIMADA DE?,30 A 40 MIN,20 A 50 MIN,20 A 30 MIN,20 A 40 MIN,A,OP_INV,
alternativa,¿ATROPELLAR FAUNA SILVESTRE PROTEGIDA ES CONSIDERADA UNA INFRACCIÓN?,MUY GRAVE,MENOS GRAVE,GRAVÍSIMA,LEVE,A,REG_INT_TRANS,
